2009-05-24T03:56:00.000Z	myxo_		hey guys, anyone know of a good guide i can follow to setup a vbox?
2009-05-24T03:57:00.000Z	Zzeiss	myxo_	: What's a vbox?
2009-05-24T04:00:00.000Z	Zzeiss	myxo_	Virtualbox is _easy_.   There is a guide on the SUN website, and after reading that, I had no problems.  Or just try it.
2009-05-24T04:01:00.000Z	Zzeiss	myxo_	What do you mean by "seamlessly"?
2009-05-24T04:01:00.000Z	Zzeiss	myxo_	I just use the one on the SUN website.  I don't have a URL handy.  One read, and everything became obvious.  :)
2009-05-24T04:03:00.000Z	Zzeiss	myxo_	OK, did you get something like a "hit F12 to select boot media" down at the bottom?
2009-05-24T04:03:00.000Z	Zzeiss	myxo_	and then that goes away and you have a blank screen?
2009-05-24T04:04:00.000Z	Zzeiss	myxo_	OK.  No problem.   It _is_ easy.  You just have to put a virtual boot CDROM into the virtual drive.  :)
2009-05-24T04:04:00.000Z	Zzeiss	myxo_	which you can do easily enough- or map the virtual cd to a .iso somewhere in your hard drive.    Either works, but the hard drive is faster.
2009-05-24T04:05:00.000Z	Zzeiss	myxo_	Do you have a .iso of the operating system you want to load into the empty virtual machine?
2009-05-24T04:06:00.000Z	Zzeiss	myxo_	one important concept you might be missing: a virtual machine is the _same_ as a real copper-and-silicon machine.  It knows _nothing_ till you boot and install the operating system.
2009-05-24T04:06:00.000Z	Zzeiss	myxo_	for XP?  Or for Ubuntu?  Or what?
2009-05-24T04:07:00.000Z	Zzeiss	myxo_	a .iso is the image of a CD you have on a hard drive.... it's the equivalent of the CD, but not yet turned into pits in the plastic.
2009-05-24T04:07:00.000Z	Zzeiss	myxo_	sure.  That would work.  Or your Ubuntu CD.  Maybe start with Ubuntu first, bfcause you already have it running and you know how it works.
2009-05-24T04:08:00.000Z	Zzeiss	myxo_	Yep.  That's what I do when I want to play.  If you hose the virtual machine, no harm/no foul, you delete it (or revert it to a snapshot) and the hosage goes magically away.  Meanwhile, you can be IRCing safely along in another VM.  :)
2009-05-24T04:09:00.000Z	Zzeiss	myxo_	So that's why I say "try it with Ubuntu in the virtual machine first".
2009-05-24T04:10:00.000Z	Zzeiss	myxo_	(note- I have to do this with my wife, so we can have her running XP in a VM in her Mac and we can ditch the Dell boat anchor!)
2009-05-24T04:10:00.000Z	Zzeiss	myxo_	Anyway, wanna give this a spin?
2009-05-24T04:11:00.000Z	Zzeiss	myxo_	Got your Ubuntu install CD?
2009-05-24T04:11:00.000Z	Zzeiss	myxo_	Yep.  the .iso you downloaded works fine.
2009-05-24T04:11:00.000Z	Zzeiss	myxo_	No problem.  32 or 64, both work under VB.
2009-05-24T04:12:00.000Z	Zzeiss	myxo_	is it on your hard drive now?  Or do you want to grab the CD you used?
2009-05-24T04:13:00.000Z	Zzeiss	myxo_	No problem with the name.  :)  Yes, create a new virtual machine.  Give it 10 gigabytes of disk, to be created as needed, and 1 gig of RAM
2009-05-24T04:13:00.000Z	Zzeiss	myxo_	how much disk and RAM does your real machine have?
2009-05-24T04:13:00.000Z	Zzeiss	myxo_	OK, plenty.  :)
2009-05-24T04:14:00.000Z	Zzeiss	myxo_	OK, do you have VirtualBox OSE installed on the real machine?
2009-05-24T04:15:00.000Z	Zzeiss	myxo_	OK, what version of VBox?  (
2009-05-24T04:15:00.000Z	Zzeiss	myxo_	perfect.  We're in sync.
2009-05-24T04:15:00.000Z	Zzeiss	myxo_	I'll be working along with you on this.  :)
2009-05-24T04:16:00.000Z	Zzeiss	myxo_	Did you give your machine a name yet?
2009-05-24T04:16:00.000Z	Zzeiss	myxo_	and linux/ubuntu?
2009-05-24T04:17:00.000Z	Zzeiss	myxo_	and what did you set on the next window after that, where it says "boot disk (primary)
2009-05-24T04:18:00.000Z	Zzeiss	myxo_	Yeah, make a new one.  give it 8 gigs of disk.
2009-05-24T04:19:00.000Z	Zzeiss	myxo_	yes, you canincrease it later, but let's keep it easy for now.
2009-05-24T04:19:00.000Z	Zzeiss	myxo_	Oh, you preallocated then.  I don't usually do that... I let it allocate as needed.
2009-05-24T04:20:00.000Z	Zzeiss	myxo_	Yes, the space taken up is not usable by the main machine (it's consumed on the filespace).
2009-05-24T04:20:00.000Z	Zzeiss	myxo_	That's what I usually do.  It seems to work OK for me.  :)
2009-05-24T04:21:00.000Z	Zzeiss	myxo_	No problem
2009-05-24T04:21:00.000Z	Zzeiss	myxo_	We have time.  The net result will be yours will run a bit faster.  :)
2009-05-24T04:21:00.000Z	Zzeiss	myxo_	whoa.  Beefy.  :)
2009-05-24T04:21:00.000Z	Zzeiss	myxo_	Core 2 duo?
2009-05-24T04:22:00.000Z	Zzeiss	myxo_	should be fine then.  What's your status bar at?
2009-05-24T04:22:00.000Z	Zzeiss	myxo_	What kind of laptop?
2009-05-24T04:23:00.000Z	Zzeiss	myxo_	OK.  Nice HW.  Anyway, you should now have a machine listed in the sidebar.  Click on it once, then click "settings" (the orange gear).
2009-05-24T04:24:00.000Z	Zzeiss	myxo_	I would leave most of it alone... but lessee...  General > Basic, give it 32 MB of vram,
2009-05-24T04:26:00.000Z	Zzeiss	myxo_	General>advanced,  checkoff "Floppy, CDROM, Hard Disk", enable ACPI, enable VTx, enable nested paging, enable NX
2009-05-24T04:26:00.000Z	Zzeiss	myxo_	no other changes on General.
2009-05-24T04:26:00.000Z	Zzeiss	myxo_	Hard Disks: no changes.
2009-05-24T04:27:00.000Z	Zzeiss	myxo_	CD/DVD > HERE is where you have to set the boot media.  Either point it at the CDROM (andput your Ubuntu CD in) or point it at the .iso on the hard drive.).   This is the magic part.  :)
2009-05-24T04:28:00.000Z	Zzeiss	myxo_	OK.  Lemme check the rest of settings...
2009-05-24T04:29:00.000Z	Zzeiss	myxo_	you might want to enable audio.  :-)  And yes,  a new Windoze machine needs to go thru the install procedure- and the WGA authentication!  So write down the volume ID and Ethernet MAC because you might need to recreate it.
2009-05-24T04:30:00.000Z	Zzeiss	myxo_	Yeah.  That's the way ti goes.  :)
2009-05-24T04:30:00.000Z	Zzeiss	myxo_	Wish I had one.  I have licenses.  But the f***** WGA annoys the heck out of me, which is another reason I run Linux.  :)
2009-05-24T04:31:00.000Z	Zzeiss	myxo_	anyway, you should be ready.  Click "OK" to exit settings, then (assuming the new VM is still highlighted) click the green START arrow, and off it should boot!
2009-05-24T04:32:00.000Z	Zzeiss	myxo_	it will produce a window that looks just like Ubuntu doing a virgin install - which it is, inside the virtual disk you already created.  Don't let it scare ya; the virtual machine cannot get outside of that.
2009-05-24T04:32:00.000Z	Zzeiss	myxo_	tell me later.  :)
2009-05-24T04:33:00.000Z	Zzeiss	myxo_	OK, how's it working?
